chart_position,chart_date,title,performer,song_id,instance,time_on_chart,consecutive_weeks,previous_week,peak_position,worst_position,chart_debut,chart_url
84,1990-05-05,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,1,,,84,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-05-05
78,1990-05-12,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,2,1.0,84.0,78,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-05-12
68,1990-05-19,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,3,2.0,78.0,68,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-05-19
60,1990-05-26,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,4,3.0,68.0,60,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-05-26
58,1990-06-02,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,5,4.0,60.0,58,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-06-02
55,1990-06-09,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,6,5.0,58.0,55,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-06-09
54,1990-06-16,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,7,6.0,55.0,54,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-06-16
57,1990-06-23,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,8,7.0,54.0,54,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-06-23
67,1990-06-30,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,9,8.0,57.0,54,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-06-30
75,1990-07-07,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,10,9.0,67.0,54,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-07-07
77,1990-07-14,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,11,10.0,75.0,54,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-07-14
79,1990-07-21,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,12,11.0,77.0,54,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-07-21
79,1990-07-28,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,13,12.0,79.0,54,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-07-28
83,1990-08-04,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,14,13.0,79.0,54,84,1990-05-05,https://www.billboard.com/charts/hot-100/1990-08-04
91,1990-08-11,"""B"" Girls",Young And Restless,"""B"" GirlsYoung And Restless",1.0,15,14.0,83.0,54,91,1990-05-05,https://www.billboard.com/charts/hot-100/1990-08-11
84,1973-03-17,"""Cherry Cherry"" from Hot August Night",Neil Diamond,"""Cherry Cherry"" from Hot August NightNeil Diamond",1.0,1,,,84,84,1973-03-17,https://www.billboard.com/charts/hot-100/1973-03-17
64,1973-03-24,"""Cherry Cherry"" from Hot August Night",Neil Diamond,"""Cherry Cherry"" from Hot August NightNeil Diamond",1.0,2,1.0,84.0,64,84,1973-03-17,https://www.billboard.com/charts/hot-100/1973-03-24
56,1973-03-31,"""Cherry Cherry"" from Hot August Night",Neil Diamond,"""Cherry Cherry"" from Hot August NightNeil Diamond",1.0,3,2.0,64.0,56,84,1973-03-17,https://www.billboard.com/charts/hot-100/1973-03-31
49,1973-04-07,"""Cherry Cherry"" from Hot August Night",Neil Diamond,"""Cherry Cherry"" from Hot August NightNeil Diamond",1.0,4,3.0,56.0,49,84,1973-03-17,https://www.billboard.com/charts/hot-100/1973-04-07
42,1973-04-14,"""Cherry Cherry"" from Hot August Night",Neil Diamond,"""Cherry Cherry"" from Hot August NightNeil Diamond",1.0,5,4.0,49.0,42,84,1973-03-17,https://www.billboard.com/charts/hot-100/1973-04-14
36,1973-04-21,"""Cherry Cherry"" from Hot August Night",Neil Diamond,"""Cherry Cherry"" from Hot August NightNeil Diamond",1.0,6,5.0,42.0,36,84,1973-03-17,https://www.billboard.com/charts/hot-100/1973-04-21
35,1973-04-28,"""Cherry Cherry"" from Hot August Night",Neil Diamond,"""Cherry Cherry"" from Hot August NightNeil Diamond",1.0,7,6.0,36.0,35,84,1973-03-17,https://www.billboard.com/charts/hot-100/1973-04-28
31,1973-05-05,"""Cherry Cherry"" from Hot August Night",Neil Diamond,"""Cherry Cherry"" from Hot August NightNeil Diamond",1.0,8,7.0,35.0,31,84,1973-03-17,https://www.billboard.com/charts/hot-100/1973-05-05
31,1973-05-12,"""Cherry Cherry"" from Hot August Night",Neil Diamond,"""Cherry Cherry"" from Hot August NightNeil Diamond",1.0,9,8.0,31.0,31,84,1973-03-17,https://www.billboard.com/charts/hot-100/1973-05-12
51,1973-05-19,"""Cherry Cherry"" from Hot August Night",Neil Diamond,"""Cherry Cherry"" from Hot August NightNeil Diamond",1.0,10,9.0,31.0,31,84,1973-03-17,https://www.billboard.com/charts/hot-100/1973-05-19
99,1973-10-13,"""Having A Party"" Medley",The Ovations (Featuring Louis Williams),"""Having A Party"" MedleyThe Ovations (Featuring Louis Williams)",1.0,1,,,99,99,1973-10-13,https://www.billboard.com/charts/hot-100/1973-10-13
95,1973-10-20,"""Having A Party"" Medley",The Ovations (Featuring Louis Williams),"""Having A Party"" MedleyThe Ovations (Featuring Louis Williams)",1.0,2,1.0,99.0,95,99,1973-10-13,https://www.billboard.com/charts/hot-100/1973-10-20
